"REF_DATE","GEO","DGUID","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-01","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","101285","A","","","0"
"2019-02","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","93020","B","","","0"
"2019-03","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","105685","A","","","0"
"2019-04","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","113375","A","","","0"
"2019-05","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","106360","A","","","0"
"2019-06","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","103285","B","","","0"
"2019-07","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","112000","B","","","0"
"2019-08","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","101365","A","","","0"
"2019-09","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","104140","B","","","0"
"2019-10","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","97690","A","","","0"
"2019-11","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","90035","B","","","0"
"2019-12","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","80175","B","","","0"
"2020-01","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","95975","A","","","0"
"2020-02","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","95660","B","","","0"
"2020-03","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","90995","B","","","0"
"2020-10","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","105725","A","","","0"
"2020-11","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","91755","B","","","0"
"2020-12","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","79100","B","","","0"
"2021-01","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","82610","A","","","0"
"2021-02","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","107720","A","","","0"
"2021-03","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","110250","A","","","0"
"2021-04","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","108680","A","","","0"
"2021-05","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","125735","A","","","0"
"2021-06","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","136145","A","","","0"
"2021-07","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","138840","A","","","0"
"2021-08","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","160925","A","","","0"
"2021-09","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","170485","A","","","0"
"2021-10","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","152640","A","","","0"
"2021-11","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","139970","A","","","0"
"2021-12","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","151730","A","","","0"
"2022-01","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","145275","A","","","0"
"2022-02","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","130830","A","","","0"
"2022-03","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","173835","A","","","0"
"2022-04","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","168050","A","","","0"
"2022-05","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","166085","A","","","0"
"2022-06","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","177525","A","","","0"
"2022-07","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","159015","A","","","0"
"2022-08","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","151600","A","","","0"
"2022-09","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","158925","A","","","0"
"2022-10","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","141640","A","","","0"
"2022-11","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","135580","A","","","0"
"2022-12","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","112255","B","","","0"
"2023-01","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","127335","A","","","0"
"2023-02","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","111955","A","","","0"
"2023-03","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","129020","A","","","0"
"2023-04","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","132245","A","","","0"
"2023-05","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","125895","A","","","0"
"2023-06","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","131290","A","","","0"
"2023-07","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","128130","A","","","0"
"2023-08","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","111585","A","","","0"
"2023-09","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","111230","A","","","0"
"2023-10","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","120145","A","","","0"
"2023-11","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","103990","A","","","0"
"2023-12","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","86765","B","","","0"
"2024-01","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","109650","B","","","0"
"2024-02","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","93415","B","","","0"
"2024-03","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","94525","A","","","0"
"2024-04","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","111505","A","","","0"
"2024-05","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","103140","B","","","0"
"2024-06","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","105430","A","","","0"
"2024-07","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","106955","B","","","0"
"2024-08","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","93990","A","","","0"
"2024-09","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","98340","B","","","0"
"2024-10","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","94470","A","","","0"
"2024-11","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","91610","A","","","0"
"2024-12","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","66835","B","","","0"
"2025-01","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","83780","A","","","0"
"2025-02","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","72660","A","","","0"
"2025-03","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","84275","A","","","0"
"2025-04","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","91915","A","","","0"
"2025-05","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","87055","A","","","0"
"2025-06","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","84785","A","","","0"
"2025-07","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","88865","A","","","0"
"2025-08","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","77890","B","","","0"
"2025-09","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","83965","A","","","0"
"2025-10","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","80830","A","","","0"
"2025-11","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","69240","A","","","0"
"2025-12","British Columbia","2016A000259","Job vacancies","Number","223","units","0","v1212389394","11.1","65170","A","","","0"
"2019-01","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2251365","A","","","0"
"2019-02","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2185910","A","","","0"
"2019-03","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2196975","A","","","0"
"2019-04","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2212365","A","","","0"
"2019-05","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2220980","A","","","0"
"2019-06","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2242450","A","","","0"
"2019-07","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2277360","A","","","0"
"2019-08","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2247875","A","","","0"
"2019-09","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2235580","A","","","0"
"2019-10","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2285370","A","","","0"
"2019-11","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2278130","A","","","0"
"2019-12","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2265580","A","","","0"
"2020-01","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2288820","A","","","0"
"2020-02","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2228565","A","","","0"
"2020-03","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2220805","A","","","0"
"2020-10","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2110960","A","","","0"
"2020-11","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2131650","A","","","0"
"2020-12","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2129585","A","","","0"
"2021-01","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2165580","A","","","0"
"2021-02","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2086025","A","","","0"
"2021-03","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2095070","A","","","0"
"2021-04","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2141055","A","","","0"
"2021-05","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2144980","A","","","0"
"2021-06","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2139120","A","","","0"
"2021-07","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2203650","A","","","0"
"2021-08","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2199840","A","","","0"
"2021-09","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2178835","A","","","0"
"2021-10","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2266450","A","","","0"
"2021-11","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2273995","A","","","0"
"2021-12","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2265280","A","","","0"
"2022-01","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2306795","A","","","0"
"2022-02","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2246955","A","","","0"
"2022-03","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2262745","A","","","0"
"2022-04","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2288850","A","","","0"
"2022-05","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2313750","A","","","0"
"2022-06","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2323265","A","","","0"
"2022-07","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2375955","A","","","0"
"2022-08","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2347100","A","","","0"
"2022-09","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2319770","A","","","0"
"2022-10","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2397825","A","","","0"
"2022-11","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2386100","A","","","0"
"2022-12","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2386190","A","","","0"
"2023-01","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2416855","A","","","0"
"2023-02","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2350050","A","","","0"
"2023-03","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2369395","A","","","0"
"2023-04","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2377460","A","","","0"
"2023-05","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2387080","A","","","0"
"2023-06","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2413285","A","","","0"
"2023-07","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2460370","A","","","0"
"2023-08","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2404340","A","","","0"
"2023-09","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2378130","A","","","0"
"2023-10","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2456330","A","","","0"
"2023-11","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2436130","A","","","0"
"2023-12","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2433670","A","","","0"
"2024-01","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2452495","A","","","0"
"2024-02","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2383505","A","","","0"
"2024-03","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2383700","A","","","0"
"2024-04","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2411255","A","","","0"
"2024-05","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2404960","A","","","0"
"2024-06","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2428425","A","","","0"
"2024-07","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2460755","A","","","0"
"2024-08","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2404725","A","","","0"
"2024-09","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2387640","A","","","0"
"2024-10","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2453625","A","","","0"
"2024-11","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2435955","A","","","0"
"2024-12","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2428675","A","","","0"
"2025-01","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2458980","A","","","0"
"2025-02","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2389425","A","","","0"
"2025-03","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2387010","A","","","0"
"2025-04","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2408130","A","","","0"
"2025-05","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2408870","A","","","0"
"2025-06","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2435705","A","","","0"
"2025-07","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2468630","A","","","0"
"2025-08","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2407625","A","","","0"
"2025-09","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2389210","A","","","0"
"2025-10","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2465185","A","","","0"
"2025-11","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2447980","A","","","0"
"2025-12","British Columbia","2016A000259","Payroll employees","Number","223","units","0","v1212389393","11.3","2434180","A","","","0"
"2019-01","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.3","A","","","1"
"2019-02","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.1","A","","","1"
"2019-03","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.6","A","","","1"
"2019-04","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.9","A","","","1"
"2019-05","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.6","A","","","1"
"2019-06","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.4","A","","","1"
"2019-07","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.7","A","","","1"
"2019-08","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.3","A","","","1"
"2019-09","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.5","A","","","1"
"2019-10","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.1","A","","","1"
"2019-11","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.8","B","","","1"
"2019-12","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.4","B","","","1"
"2020-01","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.0","A","","","1"
"2020-02","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.1","B","","","1"
"2020-03","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.9","B","","","1"
"2020-10","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.8","A","","","1"
"2020-11","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.1","B","","","1"
"2020-12","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.6","B","","","1"
"2021-01","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.7","A","","","1"
"2021-02","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.9","A","","","1"
"2021-03","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.0","A","","","1"
"2021-04","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.8","A","","","1"
"2021-05","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.5","A","","","1"
"2021-06","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","6.0","A","","","1"
"2021-07","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.9","A","","","1"
"2021-08","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","6.8","A","","","1"
"2021-09","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","7.3","A","","","1"
"2021-10","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","6.3","A","","","1"
"2021-11","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.8","A","","","1"
"2021-12","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","6.3","A","","","1"
"2022-01","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.9","A","","","1"
"2022-02","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.5","A","","","1"
"2022-03","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","7.1","A","","","1"
"2022-04","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","6.8","A","","","1"
"2022-05","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","6.7","A","","","1"
"2022-06","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","7.1","A","","","1"
"2022-07","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","6.3","A","","","1"
"2022-08","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","6.1","A","","","1"
"2022-09","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","6.4","A","","","1"
"2022-10","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.6","A","","","1"
"2022-11","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.4","A","","","1"
"2022-12","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.5","B","","","1"
"2023-01","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.0","A","","","1"
"2023-02","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.5","A","","","1"
"2023-03","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.2","A","","","1"
"2023-04","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.3","A","","","1"
"2023-05","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.0","A","","","1"
"2023-06","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","5.2","A","","","1"
"2023-07","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.9","A","","","1"
"2023-08","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.4","A","","","1"
"2023-09","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.5","A","","","1"
"2023-10","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.7","A","","","1"
"2023-11","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.1","A","","","1"
"2023-12","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.4","B","","","1"
"2024-01","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.3","B","","","1"
"2024-02","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.8","B","","","1"
"2024-03","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.8","A","","","1"
"2024-04","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.4","A","","","1"
"2024-05","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.1","A","","","1"
"2024-06","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.2","A","","","1"
"2024-07","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.2","A","","","1"
"2024-08","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.8","A","","","1"
"2024-09","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","4.0","A","","","1"
"2024-10","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.7","A","","","1"
"2024-11","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.6","A","","","1"
"2024-12","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","2.7","B","","","1"
"2025-01","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.3","A","","","1"
"2025-02","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.0","A","","","1"
"2025-03","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.4","A","","","1"
"2025-04","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.7","A","","","1"
"2025-05","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.5","A","","","1"
"2025-06","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.4","A","","","1"
"2025-07","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.5","A","","","1"
"2025-08","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.1","A","","","1"
"2025-09","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.4","A","","","1"
"2025-10","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","3.2","A","","","1"
"2025-11","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","2.8","A","","","1"
"2025-12","British Columbia","2016A000259","Job vacancy rate","Percent","239","units","0","v1212389395","11.4","2.6","A","","","1"


