"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019","British Columbia","2021A000259","Total - gender","0 to 17 years","Persons","249","units","0","v470115","11.1.94","880615","","","","0"
"2020","British Columbia","2021A000259","Total - gender","0 to 17 years","Persons","249","units","0","v470115","11.1.94","888305","","","","0"
"2021","British Columbia","2021A000259","Total - gender","0 to 17 years","Persons","249","units","0","v470115","11.1.94","890147","","","","0"
"2022","British Columbia","2021A000259","Total - gender","0 to 17 years","Persons","249","units","0","v470115","11.1.94","904771","","","","0"
"2023","British Columbia","2021A000259","Total - gender","0 to 17 years","Persons","249","units","0","v470115","11.1.94","913647","","","","0"
"2024","British Columbia","2021A000259","Total - gender","0 to 17 years","Persons","249","units","0","v470115","11.1.94","924500","","","","0"
"2025","British Columbia","2021A000259","Total - gender","0 to 17 years","Persons","249","units","0","v470115","11.1.94","921242","","","","0"
"2019","British Columbia","2021A000259","Total - gender","18 to 24 years","Persons","249","units","0","v470130","11.1.99","471937","","","","0"
"2020","British Columbia","2021A000259","Total - gender","18 to 24 years","Persons","249","units","0","v470130","11.1.99","461506","","","","0"
"2021","British Columbia","2021A000259","Total - gender","18 to 24 years","Persons","249","units","0","v470130","11.1.99","442001","","","","0"
"2022","British Columbia","2021A000259","Total - gender","18 to 24 years","Persons","249","units","0","v470130","11.1.99","457170","","","","0"
"2023","British Columbia","2021A000259","Total - gender","18 to 24 years","Persons","249","units","0","v470130","11.1.99","478963","","","","0"
"2024","British Columbia","2021A000259","Total - gender","18 to 24 years","Persons","249","units","0","v470130","11.1.99","504389","","","","0"
"2025","British Columbia","2021A000259","Total - gender","18 to 24 years","Persons","249","units","0","v470130","11.1.99","491920","","","","0"
"2019","British Columbia","2021A000259","Total - gender","25 to 44 years","Persons","249","units","0","v469830","11.1.102","1413856","","","","0"
"2020","British Columbia","2021A000259","Total - gender","25 to 44 years","Persons","249","units","0","v469830","11.1.102","1452613","","","","0"
"2021","British Columbia","2021A000259","Total - gender","25 to 44 years","Persons","249","units","0","v469830","11.1.102","1492386","","","","0"
"2022","British Columbia","2021A000259","Total - gender","25 to 44 years","Persons","249","units","0","v469830","11.1.102","1558355","","","","0"
"2023","British Columbia","2021A000259","Total - gender","25 to 44 years","Persons","249","units","0","v469830","11.1.102","1645541","","","","0"
"2024","British Columbia","2021A000259","Total - gender","25 to 44 years","Persons","249","units","0","v469830","11.1.102","1717128","","","","0"
"2025","British Columbia","2021A000259","Total - gender","25 to 44 years","Persons","249","units","0","v469830","11.1.102","1722911","","","","0"
"2019","British Columbia","2021A000259","Total - gender","45 to 64 years","Persons","249","units","0","v469833","11.1.103","1398901","","","","0"
"2020","British Columbia","2021A000259","Total - gender","45 to 64 years","Persons","249","units","0","v469833","11.1.103","1391101","","","","0"
"2021","British Columbia","2021A000259","Total - gender","45 to 64 years","Persons","249","units","0","v469833","11.1.103","1384035","","","","0"
"2022","British Columbia","2021A000259","Total - gender","45 to 64 years","Persons","249","units","0","v469833","11.1.103","1384375","","","","0"
"2023","British Columbia","2021A000259","Total - gender","45 to 64 years","Persons","249","units","0","v469833","11.1.103","1386377","","","","0"
"2024","British Columbia","2021A000259","Total - gender","45 to 64 years","Persons","249","units","0","v469833","11.1.103","1395868","","","","0"
"2025","British Columbia","2021A000259","Total - gender","45 to 64 years","Persons","249","units","0","v469833","11.1.103","1394217","","","","0"
"2019","British Columbia","2021A000259","Total - gender","65 years and older","Persons","249","units","0","v469836","11.1.104","945713","","","","0"
"2020","British Columbia","2021A000259","Total - gender","65 years and older","Persons","249","units","0","v469836","11.1.104","982576","","","","0"
"2021","British Columbia","2021A000259","Total - gender","65 years and older","Persons","249","units","0","v469836","11.1.104","1018096","","","","0"
"2022","British Columbia","2021A000259","Total - gender","65 years and older","Persons","249","units","0","v469836","11.1.104","1054174","","","","0"
"2023","British Columbia","2021A000259","Total - gender","65 years and older","Persons","249","units","0","v469836","11.1.104","1090768","","","","0"
"2024","British Columbia","2021A000259","Total - gender","65 years and older","Persons","249","units","0","v469836","11.1.104","1129229","","","","0"
"2025","British Columbia","2021A000259","Total - gender","65 years and older","Persons","249","units","0","v469836","11.1.104","1167246","","","","0"
"2019","British Columbia","2021A000259","Total - gender","Median age","Years","308","units","0","v469839","11.1.105","41.7","","","","1"
"2020","British Columbia","2021A000259","Total - gender","Median age","Years","308","units","0","v469839","11.1.105","41.7","","","","1"
"2021","British Columbia","2021A000259","Total - gender","Median age","Years","308","units","0","v469839","11.1.105","41.8","","","","1"
"2022","British Columbia","2021A000259","Total - gender","Median age","Years","308","units","0","v469839","11.1.105","41.5","","","","1"
"2023","British Columbia","2021A000259","Total - gender","Median age","Years","308","units","0","v469839","11.1.105","41.2","","","","1"
"2024","British Columbia","2021A000259","Total - gender","Median age","Years","308","units","0","v469839","11.1.105","41.0","","","","1"
"2025","British Columbia","2021A000259","Total - gender","Median age","Years","308","units","0","v469839","11.1.105","41.4","","","","1"
"2019","British Columbia","2021A000259","Total - gender","Average age","Years","308","units","0","v1200123473","11.1.139","42.2","","","","1"
"2020","British Columbia","2021A000259","Total - gender","Average age","Years","308","units","0","v1200123473","11.1.139","42.3","","","","1"
"2021","British Columbia","2021A000259","Total - gender","Average age","Years","308","units","0","v1200123473","11.1.139","42.6","","","","1"
"2022","British Columbia","2021A000259","Total - gender","Average age","Years","308","units","0","v1200123473","11.1.139","42.6","","","","1"
"2023","British Columbia","2021A000259","Total - gender","Average age","Years","308","units","0","v1200123473","11.1.139","42.5","","","","1"
"2024","British Columbia","2021A000259","Total - gender","Average age","Years","308","units","0","v1200123473","11.1.139","42.5","","","","1"
"2025","British Columbia","2021A000259","Total - gender","Average age","Years","308","units","0","v1200123473","11.1.139","42.9","","","","1"


